id,evidence_type,source,original_filename,normalized_path,hash_sha256,mime_type,size,sensitivity_level,status
192fec8d-fb2c-41dc-a96f-d7efde3b3176,apk,ui-upload,app-debug.apk,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\app-debug.apk,ab26a0ff556f5d5f4e757c86323b3e8c24011932b31ab4b9df8a403b032fe6e9,application/vnd.android.package-archive,6718839,internal,collected
638c0edd-96a8-4046-a6df-8d281d90fc14,apk_hash,generated,apk_hash.json,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\apk_hash.json,1c71a8de5feace4522994baf1cb775757fe4b4eeddfb5a0cc0fcdaef9cf0554d,application/json,185,internal,collected
7d09717a-4826-4bfc-8a16-3f181bb5a940,manifest_summary,generated,manifest_summary.json,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\manifest_summary.json,3f99a63d6fd9d06764ee682ea71184aa8859c94aad492df0ffa0f952de369190,application/json,230,internal,collected
518ee724-7863-42d0-af76-166f0570bf0e,manifest_xml,generated,AndroidManifest.xml,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\AndroidManifest.xml,49ff190e7e7e287a408658604c97c83c3dd710104c5076e7d1f5e6cc2bfec840,application/xml,35,internal,collected
1f3d09ab-661a-485d-a1b3-644b152a2fdb,permissions,generated,permissions.json,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\permissions.json,2e7d3831a771a3c90182b1f824f22cc2789036ddfe34ea5b05552358bce3fb7a,application/json,167,internal,collected
8c2cd006-139c-446b-86fa-9c32bd5f11bb,components,generated,components.json,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\components.json,a1612ea43a3b10299b7ad57cfaf2f7882bb039a40d43dcb9cedb24a75daaab17,application/json,335,internal,collected
6fffc89a-9a30-4ab7-b5a1-bad0ac1455a8,sbom,generated,sbom.json,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\sbom.json,5468e6d3e3b1cbd398d2387208476cf7a9e50db2e39a679c6abf2e228600aacb,application/json,3195,internal,collected
5701089f-1733-4ff6-9a5c-44553e719f0a,screenshot,adb-capture,auto_screenshot_RF8T602HTNA.png,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\auto_screenshot_RF8T602HTNA.png,92960c08049103b808bb820740a318b865d4321b83c3f12b2cc05c5b878d4a47,image/png,41015,internal,collected
0d11a0f3-b946-4ff2-bfa9-4767e4fd1e77,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA.log,18fe2c05ccf3a1fcdfd3b15d2f0992e7589ea4d8a60bb93f3515f254b837ec93,text/plain,74358,restricted,collected
7efb366f-129a-44a1-a773-2e1140ac3993,screenshot,adb-capture,auto_screenshot_RF8T602HTNA.png,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\auto_screenshot_RF8T602HTNA_1.png,8e66b098e4202e7f5f09be3821a29fa8bb532ed6aec1a5c6212fa8ea39e06cd1,image/png,231465,internal,collected
adc7e115-16a6-461c-9e70-94d38d2cd292,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_1.log,ba95e46ed1f6129284ad700edecccaf8e13261958392798c1028adf59af37cb4,text/plain,66393,restricted,collected
51a56f38-38fd-413a-a3e7-f255ccf2c609,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_2.log,65e617afdeb20a5066cb080250d8e0e0af09003592eee29a7ca8d9414a81cd87,text/plain,66419,restricted,collected
58c59f0b-8a3b-4002-808a-5f90a3446e08,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_3.log,d8802110c12cad2073ff8baafc51415580b5b9638e726668eded1be5d1ce06da,text/plain,70600,restricted,collected
349695e2-76e5-4753-b63e-ac8891c1260f,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_4.log,a5e9f146807b8717cd4d88b03586d06fb4443be1d0a86e441e9b854daa57204f,text/plain,67805,restricted,collected
e6b772dc-b403-4210-bb0c-755f788142d0,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_5.log,593e53b668d7222d0599d5354b954efd51b29bfd8debc23c98776ab8e4cbb824,text/plain,68696,restricted,collected
884adb53-8b50-48f9-ac49-5524939c9b40,log,adb-logcat,runtime_log_RF8T602HTNA.log,D:\Desktop\projet mobile\backend\data\uploads\9500a3dc-ae01-4a3d-aa59-da6cef24eb18\runtime_log_RF8T602HTNA_6.log,23aba222914070f5cd6d3ab2407dbf3f6b3f402fe04bf2e243131033669bab87,text/plain,57761,restricted,collected
